Company,CIK
21ST CENTURY INSURANCE GROUP,0000100331
ACCEL INTERNATIONAL CORP,0000001985
ACCEPTANCE INSURANCE CO,0001056834
ACCEPTANCE INSURANCE COMPANIES INC,0000074783
AFC HOLDING CO,0000933537
AFFIRMATIVE INSURANCE HOLDINGS INC,0001282543
AICI CAPITAL TRUST,0001040514
AIG ANNUITY INSURANCE CO,0001249955
AIG LIQUIDITY CORP,0000889328
"ALCO, INC.",0000734543
ALFA CORP,0000743532
ALLCITY INSURANCE CO /NY/,0000003642
ALLEGHANY CORP /DE,0000775368
ALLIED GROUP INC,0000774624
ALLSTATE CORP,0000899051
ALLSTATE FINANCING I,0001026950
ALLSTATE FINANCING II,0001026952
ALLSTATE FINANCING III,0001026956
ALLSTATE FINANCING IV,0001026958
ALTERRA CAPITAL HOLDINGS Ltd,0001141719
AMCOMP INC /FL,0001009667
AMERICAN COASTAL INSURANCE Corp,0001401521
AMERICAN COUNTRY HOLDINGS INC,0000315411
AMERICAN FINANCIAL CAPITAL TRUST I,0001023285
AMERICAN FINANCIAL CAPITAL TRUST II,0001253168
AMERICAN FINANCIAL CAPITAL TRUST III,0001253160
AMERICAN FINANCIAL CAPITAL TRUST IV,0001253161
AMERICAN FINANCIAL CORP,0000005016
AMERICAN FINANCIAL ENTERPRISES INC /CT/,0000319157
AMERICAN FINANCIAL GROUP INC,0001042046
AMERICAN FINANCIAL GROUP INC                            /TA,0000944707
AMERICAN FINANCIAL GROUP INC ET AL,0000943523
"AMERICAN INTERNATIONAL GROUP, INC.",0000005272
AMERICAN PHYSICIANS SERVICE GROUP INC,0000724024
AMERICAN PREMIER UNDERWRITERS INC,0000077098
AMERICAN PREMIER UNDERWRITERS INC                       /TA,0000915553
AMERICAN RE CORP,0000889217
AMERICAN STATES FINANCIAL CORP,0001010787
AMERISAFE INC,0001018979
"AMERITRUST GROUP, INC.",0000949156
APA HOLDINGS INC,0000863393
ARCH CAPITAL GROUP LTD.,0000947484
ARGONAUT GROUP INC,0000800082
ARI HOLDINGS INC,0000792126
ASPEN INSURANCE HOLDINGS LTD,0001267395
ASSOCIATED BUSINESS & COMMERCE INSURANCE CORP,0000928775
ASSURANCEAMERICA CORP,0000008497
AVEMCO CORP,0000008802
AXIS CAPITAL HOLDINGS LTD,0001214816
AXIS Specialty Finance LLC,0001487427
AXIS Specialty Finance PLC,0001595089
"Allied World Assurance Co Holdings, GmbH",0001163348
Alterra Finance LLC,0001492309
"American Integrity Insurance Group, Inc.",0002007587
American Physicians Insurance CO,0001378026
"Amtrust Financial Services, Inc.",0001365555
Arch Capital Finance LLC,0001689265
Ategrity Specialty Insurance Co Holdings,0002040491
"Atlas Financial Holdings, Inc.",0001539894
BACKBERG BRUCE A,0001201693
BACON ZACK III,0001199151
BANCINSURANCE CORP,0000276400
BARBER JOHN R,0001199152
BARRETTE RAYMOND JOSEPH RENE,0001181360
BASSMAN BRUCE C,0001093279
BATEMAN WALTER R II,0001036828
BEAULIEU DENNIS PAUL,0001181386
BECK LOWELL R,0001036829
BEEKLEY ROGER J,0001036830
BENET JAY S,0001224073
BERKLEY W R CAPITAL TRUST,0001031918
BERKLEY W R CORP,0000011544
BERKSHIRE HATHAWAY FINANCE CORP,0001274791
BERKSHIRE HATHAWAY INC,0001067983
BESSETTE ANDY F,0001198918
BIALKIN KENNETH J,0001224066
BLUM RICHARD H,0001192696
BRADLEY THOMAS A,0001198917
BRINING W DAVE,0001199157
BRISTOL WEST HOLDINGS INC,0001272957
BROWN ROGER ALAN,0001036831
BROWN W THACHER,0001036832
BROWNE MICHAEL L,0001036833
BUB STEPHAN W,0001199153
BUCK G CLYDE,0001184595
BUZZELL ROBERT D,0001036834
BYRD CAROLYN H,0001201700
BYRNE JOHN JOSEPH,0001181359
BYRNE MARK JAMES,0001181361
BYRNE PATRICK MICHAEL,0001181362
Blue Capital Reinsurance Holdings Ltd.,0001582086
Bowhead Specialty Holdings Inc.,0002002473
CANADIAN GENERAL CAPITAL,0001007797
CAPITOL TRANSAMERICA CORP,0000017385
CAPSURE HOLDINGS CORP,0000073313
CAPSURE HOLDINGS INC,0000837906
CARROLL LOREN K,0001184597
CAVOORES JOHN PAUL,0001181384
CGU GROUP CANADA LTD,0001007798
CHANDLER INSURANCE CO LTD,0000792854
CHANDLER USA INC,0001083750
CHENG LAURENCE W,0001199155
CHOKEL CHARLES BERGEN,0001181385
CHUBB CAPITAL CORP,0000857052
CHUBB CORP,0000020171
CII FINANCIAL INC,0000844828
CINCINNATI FINANCIAL CORP,0000020286
CITIGROUP CAPITAL VI,0001039258
CITIGROUP CAPITAL VII,0001039259
CITIGROUP CAPITAL X,0001075167
CITIZENS SECURITY GROUP INC /MN/,0000802971
CLARK HOWARD LONGSTRETH JR,0001181363
CLIFFORD JOHN P JR,0001198913
CNA FINANCIAL CAPITAL I,0001075799
CNA FINANCIAL CAPITAL II,0001075806
CNA FINANCIAL CAPITAL III,0001075807
CNA FINANCIAL CORP,0000021175
COCHRAN ROBERT PHILLIPS,0001181364
COMMERCE GROUP INC /MA,0000811612
CONTINENTAL CORP,0000024011
COONEY ROBERT J,0001199156
CRUM & FORSTER HOLDINGS CORP,0001168338
CUMBERLAND TECHNOLOGIES INC,0000882087
CUMMINS MARK R,0001036835
Canopius Holdings Bermuda Ltd,0001555767
"CastlePoint Holdings, Ltd.",0001360537
Chubb Ltd,0000896159
Cobb David R,0001184598
"Conifer Holdings, Inc.",0001502292
DIRECT GENERAL CORP,0001023031
DONDANVILLE JOSEPH E,0001192702
DONEGAL GROUP INC,0000800457
DORMAN MARGARET K,0001184601
Darwin Professional Underwriters Inc,0001355795
ELLIOT DOUGLAS G,0001224074
EMC INSURANCE GROUP INC,0000356130
ENDURANCE SPECIALTY HOLDINGS LTD,0001179755
ESTES GEORGE L III,0001198962
